Summary,Issue Type,Epic Link,Priority,Epic Name,Component,Description
CyberEdu KZ MVP,Epic,,Highest,CyberEdu KZ MVP,,Главный epic проекта: образовательная платформа по кибербезопасности для СНГ/Казахстана.
Auth and User Profile,Epic,,High,Auth and User Profile,CyberEdu KZ MVP,"Регистрация, вход, роли и профиль пользователя."
Course Learning Experience,Epic,,High,Course Learning Experience,CyberEdu KZ MVP,"Каталог курсов, уроки, задания, прогресс."
Gamification and Progress,Epic,,Medium,Gamification and Progress,CyberEdu KZ MVP,"Очки, рейтинг, статусы прохождения."
Admin Content Management,Epic,,Medium,Admin Content Management,CyberEdu KZ MVP,"CRUD для курсов, модулей и заданий."
Localization and Demo Content,Epic,,High,Localization and Demo Content,CyberEdu KZ MVP,"Русский интерфейс, KZ/CIS контекст, учебные задания."
Set up repository and project structure,Task,CyberEdu KZ MVP,Highest,,CyberEdu KZ MVP,"Создать проект, настроить scripts, env example, README, базовую структуру frontend/backend."
Create database schema,Task,CyberEdu KZ MVP,Highest,,CyberEdu KZ MVP,"Описать User, Course, Module, Lesson, Challenge, Submission, Progress."
"As a visitor, I can register an account",Story,Auth and User Profile,Highest,,Auth and User Profile,Acceptance: email/password validation; password hash; duplicate email handled.
"As a user, I can log in and log out",Story,Auth and User Profile,Highest,,Auth and User Profile,Acceptance: valid credentials create session; logout clears session; invalid credentials show Russian error.
"As a user, I can view my profile",Story,Auth and User Profile,High,,Auth and User Profile,"Acceptance: profile shows name, email, points, completed challenges, active courses."
"As a learner, I can browse courses",Story,Course Learning Experience,Highest,,Course Learning Experience,"Acceptance: course cards show title, track, difficulty, progress; filters work."
"As a learner, I can open a course page",Story,Course Learning Experience,Highest,,Course Learning Experience,Acceptance: modules and lessons shown in order; locked/unlocked state is clear.
"As a learner, I can read a lesson",Story,Course Learning Experience,High,,Course Learning Experience,Acceptance: theory markdown renders; next challenge link visible.
"As a learner, I can submit a flag",Story,Course Learning Experience,Highest,,Course Learning Experience,Acceptance: correct flag awards points once; wrong flag does not award points.
Implement server-side flag validation,Task,Course Learning Experience,Highest,,Course Learning Experience,Compare submitted value with server-side hash; never expose valid flags in client bundle.
"As a learner, I can see course progress",Story,Gamification and Progress,High,,Gamification and Progress,Acceptance: progress percent changes after completed tasks.
"As a learner, I can see leaderboard",Story,Gamification and Progress,Medium,,Gamification and Progress,Acceptance: users sorted by points; current user visible.
"As an admin, I can create and edit courses",Story,Admin Content Management,Medium,,Admin Content Management,"Acceptance: admin-only form creates course with title, track, difficulty, description."
"As an admin, I can create challenges",Story,Admin Content Management,Medium,,Admin Content Management,"Acceptance: admin can add description, hint, points and flag; flag stored as hash."
Seed MVP demo content,Task,Localization and Demo Content,Highest,,Localization and Demo Content,Create 3 tracks and 10-15 starter tasks with safe educational content.
Localize core interface to Russian,Task,Localization and Demo Content,High,,Localization and Demo Content,"Navigation, forms, errors and empty states are in Russian."
Add Kazakhstan/CIS context to content,Task,Localization and Demo Content,Medium,,Localization and Demo Content,"Use local examples: universities, SOC roles, KZ timezone, regional terminology."
Write README and demo script,Task,CyberEdu KZ MVP,High,,CyberEdu KZ MVP,README explains setup; demo script describes 5-minute walkthrough.
Test critical user journey,Task,CyberEdu KZ MVP,Highest,,CyberEdu KZ MVP,Test registration -> course -> lesson -> flag -> progress -> leaderboard.
